duration_bin,toxic_count,toxic_percentage,non_toxic_count,non_toxic_percentage
<1,1,0.007925186241876684,44,0.22352044704089408
1-2,75,0.5943889681407513,2042,10.373380746761493
2-3,320,2.536059597400539,2838,14.41706883413767
3-4,759,6.0152163575844035,3521,17.886715773431547
4-5,1233,9.771754636233952,3012,15.300990601981205
5-6,1590,12.60104612458393,2084,10.586741173482347
6-7,1817,14.400063401489934,1363,6.924053848107696
7-8,1664,13.187509906482802,1925,9.779019558039117
8-9,1614,12.791250594388966,765,3.8862077724155446
9-10,1621,12.846726898082107,582,2.9565659131318265
10-11,1006,7.972737359327945,457,2.3215646431292862
11-12,588,4.660009510223491,407,2.0675641351282703
12-13,267,2.1160247265810743,345,1.7526035052070104
13-14,35,0.27738151846568393,288,1.4630429260858522
14-15,14,0.11095260738627358,7,0.035560071120142235
>=15,14,0.11095260738627358,5,0.025400050800101596
